title,url,price,location,beds,baths,type,posted,agent,featured,posted_days,district,municipality,bhk_from_title,type_from_title,semi_furnished,fully_furnished,brand_new,private_gate
"2BHK Flat Rent in Tokha, Near Om Shanti Chowk, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-tokha-near-om-shanti-chowk-kathmandu/,20000.0,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",2.0,1.0,flat,13 hours ago,NPB-Rent,True,0,Kathmandu,Tokha,2.0,flat,0,0,0,0
"1BHK Semi Furnished Flat Rent in Chunikhel, Tusal, Budhanilkantha, Kapan, Kathmandu",https://nepalpropertybazaar.com/property/1bhk-semi-furnished-flat-rent-in-chunikhel-tusal-budhanilkantha-kapan-kathmandu/,15000.0,"Chunikhel, Budhanilkantha-13, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagmati Province, Nepal",1.0,1.0,flat,15 hours ago,NPB-Rent,True,0,Kathmandu,Budhanilkantha,1.0,flat,1,0,0,0
"2BK Flat Rent in Lubhu, Lalitpur",https://nepalpropertybazaar.com/property/2bk-flat-rent-in-lubhu-lalitpur-3/,13000.0,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",2.0,1.0,flat,15 hours ago,NPB-Rent,True,0,Lalitpur,Mahalaxmi,2.0,flat,0,0,0,0
"2 Rooms Rent in Mahankal, Boudha, Kathmandu",https://nepalpropertybazaar.com/property/2-rooms-rent-in-mahankal-boudha-kathmandu/,9500.0,"Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",2.0,1.0,room,16 hours ago,NPB-Rent,True,0,Kathmandu,Mahankal Road,2.0,room,0,0,0,0
"3BK Flat Rent in Baneshwor, Kathmandu",https://nepalpropertybazaar.com/property/3bk-flat-rent-in-baneshwor-kathmandu/,35000.0,"Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",3.0,1.0,flat,16 hours ago,NPB-Rent,True,0,Kathmandu,Saraswati Marg,3.0,flat,0,0,0,0
"Single Room Rent in Chabahil, Gangahiti, Kathmandu",https://nepalpropertybazaar.com/property/single-room-rent-in-chabahil-gangahiti-kathmandu/,10500.0,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",1.0,1.0,flat,19 hours ago,NPB-Rent,True,0,Kathmandu,Saraswati Nagar Marga,1.0,room,0,0,0,0
"1 Large Commercial Space Rent in Ghattekulo Chowk, Kathmandu",https://nepalpropertybazaar.com/property/1-large-commercial-space-rent-in-ghattekulo-chowk-kathmandu/,20000.0,"Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",0.0,1.0,commercial,2 days ago,NPB-Rent,True,2,Kathmandu,Kathmandu,0.0,commercial,0,0,0,0
"2BHK Flat Rent in Budhanilkantha, Near Muhan Pokhari, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-budhanilkantha-near-muhan-pokhari-kathmandu/,15000.0,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,budhalinkantha main road,2.0,flat,0,0,0,0
"4BK Flat Rent in Basantapur, Kathmandu",https://nepalpropertybazaar.com/property/4bk-flat-rent-in-basantapur-kathmandu/,30000.0,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",4.0,2.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,Makkhan Tol,4.0,flat,0,0,0,0
"2BHK Flat Rent in Thimi, Kamerotar, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-thimi-kamerotar-bhaktapur/,20000.0,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Bhaktapur,Araniko Highway,2.0,flat,0,0,0,0
"2BHK Flat Rent in Banasthali, Kharibot, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-banasthali-kharibot-kathmandu-3/,22000.0,"Banasthali, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,Kathmandu,2.0,flat,0,0,0,0
"2BK Flat Rent in Dhungeadda, Kalanki, Kathmandu",https://nepalpropertybazaar.com/property/2bk-flat-rent-in-dhungedhara-kalanki-kathmandu/,20000.0,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,Kathmandu,2.0,flat,0,0,0,0
"2BHK Flat Rent in Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-budhanilkantha-kathmandu/,30000.0,"Buddhanilkantha Bus Stop, Golfutar Main Road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,Golfutar Main Road,2.0,flat,0,0,0,0
"2BHK Flat Rent in Ekantakuna, Lalitpur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-ekantakuna-lalitpur/,26000.0,"Ekantakuna, Lalitpur-13, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Lalitpur,Lalitpur,2.0,flat,0,0,0,0
"1BHK (Plus Shutter) Brand New Flat Rent in Harshachok, Nayathimi, Bhaktapur",https://nepalpropertybaazaar.com/property/1bhk-plus-shutter-brand-new-flat-rent-in-harshachok-nayathimi-bhaktapur/,18000.0,"Purano Thimi- Naya Thimi, Inaya Tole, Madhyapur Thimi-05, Inaya Tole, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",1.0,1.0,flat,2 days ago,NPB-Rent,True,2,Bhaktapur,Inaya Tole,1.0,flat,0,0,1,0
"5 Storey House (Residential or Commercial) Rent in Mangalbazaar, Patan, Lalitpur",https://nepalpropertybazaar.com/property/5-storey-house-residential-or-commercial-rent-in-mangalbazaar-patan-lalitpur/,65000.0,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",6.0,5.0,commercial,2 days ago,NPB-Rent,True,2,Lalitpur,Lalitpur,6.0,commercial,0,0,0,0
"4 Rooms (2 Bathroom) Flat Rent For Office Rent in Satdobato, Lalitpur",https://nepalpropertybazaar.com/property/4-rooms-2-bathroom-flat-rent-for-office-rent-in-satdobato-lalitpur/,40000.0,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",4.0,2.0,commercial,2 days ago,NPB-Rent,True,2,Lalitpur,Tutepani,4.0,flat,0,0,0,0
"Top Floor Commercial Flat Rent in Sankhamul, Kathmandu",https://nepalpropertybazaar.com/property/top-floor-commercial-flat-rent-in-sankhamul-kathmandu/,25000.0,"Sankhamul Marg, Shankhamul Chok, Buddhnagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",3.0,1.0,flat,3 days ago,NPB-Rent,True,3,Kathmandu,Shankhamul Chok,3.0,flat,0,0,0,0
"2BHK (Private Gate) Flat Rent in Kausaltar, Tersatar, Thimi, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-private-gate-flat-rent-in-kausaltar-tersatar-thimi-bhaktapur/,22000.0,"kausaltar, Araniko Highway, sachet marga tole, Kaushaltar, Madhyapur Thimi-02, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44810, Nepal",2.0,1.0,flat,3 days ago,NPB-Rent,True,3,Bhaktapur,Araniko Highway,2.0,flat,0,0,0,1
"2 Room Rent in Dhapakhel, Lalitpur",https://nepalpropertybazaar.com/property/2-room-rent-in-dhapakhel-lalitpur/,6000.0,"Dhapakhel, Lalitpur-24, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 41700, Nepal",1.0,1.0,room,3 days ago,NPB-Rent,True,3,Lalitpur,Lalitpur,2.0,room,0,0,0,0
"2BHK Brand New Flat Rent in Pasikot, Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-brand-new-flat-rent-in-pasikot-budhanilkantha-kathmandu-3/,15000.0,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2.0,1.0,flat,3 days ago,NPB-Rent,True,3,Kathmandu,budhalinkantha main road,2.0,flat,0,0,1,0
"1BHK Flat Rent in Bagdol, Lalitpur",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-bagdol-lalitpur/,21000.0,"Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1.0,1.0,flat,3 days ago,NPB-Rent,True,3,Lalitpur,Basnetgaun,1.0,flat,0,0,0,0
"2BHK Fully Furnished Apartment Rent in Jhamsikhel, Lalitpur",https://nepalpropertybazaar.com/property/2bhk-fully-furnished-apartment-rent-in-jhamsikhel-lalitpur/,45000.0,"Jhamsikhel, Dhobighat, Lalitpur-03, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 44690, Nepal",2.0,1.0,flat,3 days ago,NPB-Rent,True,3,Lalitpur,Dhobighat,2.0,flat,0,1,0,0
"2BHK (2 Bathroom) Flat Rent in Kupondole, Lalitpur",https://nepalpropertybazaar.com/property/2bhk-2-bathroom-flat-rent-in-kupondole-lalitpur/,35000.0,"Kupondole, Lalitpur-10, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 00779, Nepal",2.0,2.0,flat,3 days ago,NPB-Rent,True,3,Lalitpur,Lalitpur,2.0,flat,0,0,0,0
"2BHK (2 Bathroom) Flat Rent in Lazimpat, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-2-bathroom-flat-rent-in-lazimpat-kathmandu/,35000.0,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",2.0,2.0,flat,3 days ago,NPB-Rent,True,3,Kathmandu,Kathmandu,2.0,flat,0,0,0,0
"2BHK Flat Rent in Kapan, Mandikhatar, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-kapan-mandikhatar-kathmandu/,25000.0,"kapan->> jagadol road, Budhanilkantha-11, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 21740, Nepal",2.0,1.0,flat,3 days ago,NPB-Rent,True,3,Kathmandu,Budhanilkantha,2.0,flat,0,0,0,0
"1BHK Flat Rent in Balkot, Bhaktapur",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-balkot-bhaktapur-2/,15000.0,"Balkot, Balkot-Biruwa Road, Suryabinayak-02, Sirutar, Suryabinayak Municipality, Bhaktapur, Bagamati Province, 44708, Nepal",1.0,1.0,flat,3 days ago,NPB-Rent,True,3,Bhaktapur,Balkot-Biruwa Road,1.0,flat,0,0,0,0
